event_id,character_id,role,perspective_summary,emotional_impact,knowledge_state
9b403d59-6608-56e4-9fe9-47ca5bb4cff8,37a78a6a-ed3f-5763-9cc0-802a18fc968b,instigator,범죄자들이 믿는 돈과 동료 관계가 얼마나 쉽게 배신으로 바뀌는지 보여주는 첫 무대로 여긴다.,놀이를 시작하는 들뜬 냉소와 과시욕을 느낀다.,범죄 조직의 자금 흐름과 자신이 남긴 혼란의 효과를 알고 있다.
9b403d59-6608-56e4-9fe9-47ca5bb4cff8,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,observer,단순 강도가 아니라 고담의 범죄 생태계를 재편할 새로운 위협의 등장으로 해석한다.,통제 가능한 범죄 전쟁이 더 예측 불가능해졌다는 긴장을 느낀다.,초기에는 조커의 정체와 목적을 명확히 알지 못한다.
ae126c2d-8318-52b9-9885-6393c5fa1790,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,actor,초법적 위험을 감수하더라도 하비가 공개적인 법의 승리를 만들 수 있게 판을 마련하려 한다.,배트맨의 역할이 언젠가 끝날 수 있다는 조심스러운 기대를 품는다.,라우가 조직 자금을 관리하며 기소의 핵심 증인이 될 수 있음을 안다.
ae126c2d-8318-52b9-9885-6393c5fa1790,9e9d6c6f-0678-52ec-9af8-9066874f5875,actor,대규모 기소를 통해 고담이 법으로 범죄 조직을 이길 수 있다는 선례를 만들려 한다.,대중 앞에서 정의를 증명할 수 있다는 자신감이 커진다.,라우의 증언과 증거가 조직 전체를 압박할 수 있음을 안다.
ae126c2d-8318-52b9-9885-6393c5fa1790,37a78a6a-ed3f-5763-9cc0-802a18fc968b,observer,범죄 조직이 궁지에 몰릴수록 자신에게 배트맨 제거를 의뢰할 가능성이 커진다고 본다.,기존 질서가 흔들리는 상황을 기회로 즐긴다.,조직의 불안과 배트맨에 대한 공포를 이용할 수 있음을 안다.
b063730f-4fb1-59c9-9c4a-b91db02629e7,37a78a6a-ed3f-5763-9cc0-802a18fc968b,instigator,배트맨의 상징성과 고담 시민의 안전을 서로 충돌시키면 영웅의 원칙이 흔들린다고 믿는다.,도시 전체가 자신의 규칙 없는 게임에 끌려오는 데 쾌감을 느낀다.,피해가 커질수록 배트맨과 시민들이 서로를 의심하게 된다는 점을 계산한다.
b063730f-4fb1-59c9-9c4a-b91db02629e7,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,target,자신의 침묵 때문에 무고한 사람이 죽는 상황에서 배트맨의 존재 이유를 다시 따진다.,죄책감과 책임감 사이에서 정체 공개까지 고려한다.,조커가 자신을 직접 죽이기보다 상징을 무너뜨리려 한다는 점을 파악해 간다.
b063730f-4fb1-59c9-9c4a-b91db02629e7,9e9d6c6f-0678-52ec-9af8-9066874f5875,responder,공포가 법의 절차를 무너뜨리지 않도록 공개적인 결단이 필요하다고 판단한다.,시민을 지켜야 한다는 책임감과 레이첼에 대한 걱정이 동시에 커진다.,"배트맨의 정체를 모르지만, 조커가 대중 심리를 공격한다는 사실을 안다."
674d50c6-9a2b-59d7-af55-4b39bf416267,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,defender,사교계의 가면을 벗고 즉시 배트맨으로 대응해야 하는 상황에 놓인다.,레이첼과 하비가 자신의 전쟁에 휘말렸다는 불안을 느낀다.,조커가 공개 장소와 사적 공간의 경계를 가리지 않는다는 점을 확인한다.
674d50c6-9a2b-59d7-af55-4b39bf416267,37a78a6a-ed3f-5763-9cc0-802a18fc968b,attacker,고담의 부유층과 영웅 후보가 안전하다고 믿는 공간을 침범해 공포를 확장한다.,무대 위 주인공처럼 사람들의 시선을 즐긴다.,하비가 고담의 공개적 희망이라는 점을 알고 그를 흔들려 한다.
674d50c6-9a2b-59d7-af55-4b39bf416267,9e9d6c6f-0678-52ec-9af8-9066874f5875,target,"자신이 조커의 정치적, 상징적 표적이 되었음을 체감한다.",위험을 감수하려 하지만 레이첼이 함께 노출된 데 불안을 느낀다.,조커의 공격이 자신과 배트맨을 동시에 겨냥한다고 이해한다.
0aed666c-13f4-50da-ac37-b98c48852b2f,9e9d6c6f-0678-52ec-9af8-9066874f5875,decoy,법의 얼굴인 자신이 위험을 떠안으면 배트맨과 고담 시민 모두에게 시간을 벌 수 있다고 판단한다.,두려움을 누르고 영웅적 책임감과 자부심을 느낀다.,자신이 진짜 배트맨은 아니지만 공개적 미끼가 될 수 있음을 안다.
0aed666c-13f4-50da-ac37-b98c48852b2f,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,conflicted,자신이 감수해야 할 부담을 하비가 대신 떠안는 상황을 받아들이기 어렵다.,안도보다 죄책감과 경계심이 앞선다.,하비의 자백이 조커를 유인할 수 있지만 하비를 치명적 위험에 놓는다는 점을 안다.
0aed666c-13f4-50da-ac37-b98c48852b2f,37a78a6a-ed3f-5763-9cc0-802a18fc968b,predator,미끼가 진짜인지보다 고담이 영웅 후보를 희생시키는 장면 자체가 중요하다고 본다.,게임이 더 공개적이고 잔혹한 단계로 넘어간 데 만족한다.,호송 과정에서 배트맨이 나타날 가능성이 높다는 점을 예상한다.
e83c8974-b457-5876-9151-1be6e420b662,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,protector,하비를 살려 고담의 합법적 희망을 지키는 것이 자신의 최우선 목표라고 본다.,육체적 위험보다 하비를 잃을 수 있다는 압박이 크다.,조커가 자신을 끌어내려는 전술을 쓰고 있음을 알지만 정확한 다음 수는 모른다.
e83c8974-b457-5876-9151-1be6e420b662,37a78a6a-ed3f-5763-9cc0-802a18fc968b,attacker,추격전 자체를 배트맨의 살인 금지 원칙을 시험하는 장치로 삼는다.,죽음 가까이에서도 배트맨이 선을 넘지 않는 모습을 흥미롭게 여긴다.,체포될 가능성까지 게임의 일부로 받아들인다.
e83c8974-b457-5876-9151-1be6e420b662,9e9d6c6f-0678-52ec-9af8-9066874f5875,bait,"자신의 자백이 실제로 조커를 움직였음을 확인하지만, 통제권은 점점 줄어든다.",용기와 무력감이 뒤섞인다.,고든과 배트맨이 자신을 지키려 한다는 사실은 알지만 레이첼의 위험은 모른다.
d567096f-024a-5486-945e-d0eb6211d602,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,failed-rescuer,"정보를 얻기 위해 조커를 몰아붙이지만, 선택 자체가 조커의 함정이었다는 사실과 마주한다.",레이첼을 구하지 못했다는 상실과 하비까지 잃을 뻔했다는 죄책감에 압도된다.,조커가 위치 정보를 뒤틀어 자신의 선택을 무너뜨렸음을 뒤늦게 안다.
d567096f-024a-5486-945e-d0eb6211d602,37a78a6a-ed3f-5763-9cc0-802a18fc968b,manipulator,"배트맨의 분노와 사랑, 하비의 상실을 동시에 자극해 고담의 희망을 부수려 한다.",자신의 혼돈이 사람들의 깊은 균열을 드러냈다고 확신한다.,레이첼과 하비를 동시에 위기에 놓아 누구도 온전히 이길 수 없게 만들었음을 안다.
d567096f-024a-5486-945e-d0eb6211d602,9e9d6c6f-0678-52ec-9af8-9066874f5875,victim,"레이첼을 잃고 몸과 얼굴이 망가지는 순간, 자신이 믿던 공정성과 법의 의미가 무너진다.","슬픔, 분노, 배신감이 삶의 중심을 대체한다.","처음에는 구조 실패의 전모를 모르며, 이후 주변 사람들의 책임을 의심한다."
2e0588b5-d673-5eec-a814-9ddcd54e0ffc,9e9d6c6f-0678-52ec-9af8-9066874f5875,fallen,"법이 레이첼을 지키지 못했다고 믿으며, 우연과 운명이 더 정직한 심판이라고 받아들인다.",사랑을 잃은 고통이 정의감 대신 복수심으로 굳어진다.,"레이첼의 죽음에 얽힌 경찰과 조직, 고든의 책임 가능성을 좇는다."
2e0588b5-d673-5eec-a814-9ddcd54e0ffc,37a78a6a-ed3f-5763-9cc0-802a18fc968b,tempter,고담의 백기사가 한 번의 상실로 무너지는 모습을 자신의 가장 중요한 증거로 여긴다.,하비를 타락시키는 데서 배트맨을 죽이는 것 이상의 만족을 느낀다.,하비의 분노가 고담의 도덕적 승리를 파괴할 수 있음을 안다.
2e0588b5-d673-5eec-a814-9ddcd54e0ffc,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,unaware,"하비가 살아 있다는 사실에 희망을 걸지만, 내면의 붕괴를 즉시 알지는 못한다.",레이첼의 죽음 때문에 판단이 무거워지고 늦어진다.,하비가 조커의 다음 무기가 되고 있다는 사실은 뒤늦게 파악한다.
44fe5ec4-aa32-546d-9b92-74b34a7a4650,37a78a6a-ed3f-5763-9cc0-802a18fc968b,instigator,공공 안전의 상징인 병원을 무너뜨려 누구도 제도에 기대지 못하게 만든다.,도시가 공포에 따라 움직이는 장면을 공연처럼 즐긴다.,대피와 혼란이 페리 실험으로 이어질 환경을 만든다는 점을 알고 있다.
44fe5ec4-aa32-546d-9b92-74b34a7a4650,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,responder,조커가 더 이상 특정 인물만이 아니라 도시 전체의 신뢰 구조를 공격한다고 판단한다.,시간이 부족하다는 압박과 더 강한 감시 수단을 써야 한다는 부담을 느낀다.,조커의 위치와 다음 목표를 찾기 위해 Lucius의 기술 지원이 필요함을 안다.
44fe5ec4-aa32-546d-9b92-74b34a7a4650,9e9d6c6f-0678-52ec-9af8-9066874f5875,escaped,병원을 떠나 자신만의 방식으로 책임자를 찾아가려 한다.,살아남았다는 감각보다 복수할 명분이 선명해진다.,조커가 자신을 이용하고 있다는 점을 일부 알면서도 분노를 멈추지 않는다.
f17f46b1-4615-56b9-8890-0e64cd85b770,37a78a6a-ed3f-5763-9cc0-802a18fc968b,tester,극단적 공포 속에서는 누구나 자기 생존을 위해 타인을 희생한다고 증명하려 한다.,예상과 달리 사람들이 끝까지 버튼을 누르지 않자 짜증과 흥미를 동시에 느낀다.,배 두 척의 폭탄과 시간 제한을 통제하지만 사람들의 마지막 선택은 통제하지 못한다.
f17f46b1-4615-56b9-8890-0e64cd85b770,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,hunter,조커를 찾는 동시에 고담 시민이 조커의 냉소를 반박할 수 있기를 바란다.,도시가 아직 구할 가치가 있다는 믿음을 붙잡는다.,감시 기술로 조커의 위치를 좇으며 페리 상황의 큰 틀을 파악한다.
67413825-4a48-5a03-82e4-07c4f18b8ebd,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,scapegoat,"하비의 상징이 무너지면 조커가 이긴다고 보고, 배트맨이 미움을 받는 쪽을 선택한다.",고독과 상실을 받아들이면서도 고담의 희망을 지켰다는 결의를 품는다.,"하비의 타락과 죽음, 고든 가족에게 닥친 위협의 진실을 알고 있다."
67413825-4a48-5a03-82e4-07c4f18b8ebd,37a78a6a-ed3f-5763-9cc0-802a18fc968b,defeated-instigator,페리 실험은 실패했지만 하비를 무너뜨린 일로 배트맨의 도덕적 승리를 훼손했다고 믿는다.,체포되어도 배트맨과의 관계가 끝나지 않았다고 확신한다.,하비가 저지른 일의 파장이 고담을 뒤흔들 수 있음을 안다.
67413825-4a48-5a03-82e4-07c4f18b8ebd,9e9d6c6f-0678-52ec-9af8-9066874f5875,fallen-symbol,자신이 잃은 것을 다른 사람도 감당해야 한다고 믿으며 고든의 가족을 위협한다.,정의보다 고통의 균형을 맞추려는 집착에 사로잡힌다.,레이첼을 잃게 한 선택과 책임을 자기 방식으로 재판하려 한다.
767a3f36-58c4-59e5-82ba-35f77d72e5c4,f36898cf-4392-558d-bad6-aa6e3dba9e34,victim,대수는 감금의 이유를 알지 못한 채 자신을 가둔 사람과 잃어버린 삶을 향한 분노를 키운다.,공포와 혼란은 시간이 지나며 복수심과 생존 본능으로 굳어진다.,"대수는 감금의 배후가 이우진이라는 사실도, 감금 기간이 15년으로 정해졌다는 사실도 모른다."
767a3f36-58c4-59e5-82ba-35f77d72e5c4,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,planner,우진은 오래전 소문을 낸 대수를 벌하기 위해 감금 계획을 시작한다.,누나를 잃은 상처를 냉정한 실험과 복수의 형태로 유지한다.,"우진은 대수의 납치, 감금 장소, 감금 기간을 모두 계획했지만 자신의 정체와 목적을 숨긴다."
7150313e-5fc7-5044-9d77-cb56fdb2b205,f36898cf-4392-558d-bad6-aa6e3dba9e34,framed,대수는 감금뿐 아니라 자기 삶 전체가 누군가에게 조작되고 있다는 사실을 깨닫는다.,아내를 잃은 슬픔과 억울함이 복수심을 더 집요하게 만든다.,"대수는 누가 아내를 죽였는지, 왜 가족사진 앨범이 사라졌는지 알지 못한다."
7150313e-5fc7-5044-9d77-cb56fdb2b205,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,manipulator,우진은 대수의 사회적 삶과 가족의 흔적을 끊어 그를 복수의 무대에 가둔다.,대수가 오래 버틸수록 계획이 더 깊게 작동한다고 느낀다.,우진은 대수를 살인범처럼 보이게 만든 조작과 사진 앨범의 의미를 알고 있다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,f36898cf-4392-558d-bad6-aa6e3dba9e34,released,대수는 자유를 얻었지만 곧바로 누군가가 자신의 동선을 조종하고 있음을 느낀다.,자유의 기쁨보다 의심과 복수심이 앞선다.,대수는 아키라로 향한 선택과 전화 반응이 최면 암시에 따른 것임을 아직 모른다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,first-contact,"미도는 이상하고 상처 입은 손님 대수를 돕게 되고, 그에게 설명하기 어려운 끌림을 느낀다.","두려움과 호기심, 연민이 뒤섞인다.",미도는 자신도 최면 암시의 일부라는 사실과 대수의 가족관계를 전혀 모른다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,controller,우진은 대수와 미도의 만남이 정해진 순서대로 진행되는지 지켜본다.,오래 준비한 장치가 작동하는 것을 차갑게 즐긴다.,"우진은 대수와 미도에게 걸린 암시, 전화 멜로디, 만남의 목적을 모두 알고 있다."
a74fc21a-cc17-5197-bba2-520ead74ee20,f36898cf-4392-558d-bad6-aa6e3dba9e34,seeker,"대수는 미도를 의심하면서도 그녀에게 의지하게 되고, 복수의 길에 끌어들인다.",오래 닫혀 있던 감정이 경계심과 함께 다시 움직인다.,"대수는 미도가 자기 딸이라는 사실을 모르며, 미도의 행동이 암시로 시작되었다는 점도 모른다."
a74fc21a-cc17-5197-bba2-520ead74ee20,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,helper,미도는 대수의 사연을 믿기 어렵지만 그를 내버려 둘 수 없다고 느낀다.,연민이 친밀감과 사랑으로 바뀌기 시작한다.,"미도는 대수의 실종, 감금, 딸의 행방을 부분적으로만 알며 자신의 출생 관련 진실은 모른다."
0ee78a02-a37e-5887-9399-4b1309abb5d2,f36898cf-4392-558d-bad6-aa6e3dba9e34,hunter,대수는 몸으로 길을 뚫으며 감금의 배후에 가까워졌다고 믿는다.,상처와 피로 속에서도 복수심이 더 선명해진다.,대수는 감금방을 찾지만 우진의 진짜 목적과 미도에게 놓인 함정은 아직 모른다.
0ee78a02-a37e-5887-9399-4b1309abb5d2,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,assistant,미도는 대수를 도우면서도 그가 점점 위험한 사람처럼 변하는 것을 본다.,걱정과 두려움이 커지지만 대수를 떠나지 못한다.,미도는 감금방의 존재를 알게 되지만 감금과 자기 삶이 연결되어 있다는 사실은 모른다.
0ee78a02-a37e-5887-9399-4b1309abb5d2,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,observer,"우진은 대수가 단서를 따라 움직이도록 허용하며, 추적 자체를 게임의 일부로 만든다.",대수가 정답 대신 복수의 표면에 매달리는 모습을 흥미롭게 본다.,우진은 감금방 단서가 대수를 결국 자신에게 데려오도록 설계되었음을 알고 있다.
ca825e82-c23e-5d0d-a6a2-7778f4cfa9b9,f36898cf-4392-558d-bad6-aa6e3dba9e34,challenged,"대수는 드디어 적을 만났다고 믿지만, 질문의 방향이 틀렸다는 사실은 모른다.",분노가 목표를 얻으며 더 조급해진다.,"대수는 우진의 이름과 존재를 알지만, 자신이 왜 풀려났는지는 아직 모른다."
ca825e82-c23e-5d0d-a6a2-7778f4cfa9b9,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,game-master,우진은 대수에게 복수의 게임처럼 보이는 수수께끼를 던져 더 깊은 함정으로 유도한다.,복수의 끝을 앞두고 차분한 흥분과 공허함을 동시에 느낀다.,우진은 대수가 찾을 질문이 '왜 가뒀나'가 아니라 '왜 풀어줬나'임을 알고 숨긴다.
9eb2aa97-7269-51c8-ae18-6794090412ca,f36898cf-4392-558d-bad6-aa6e3dba9e34,remembering,대수는 자신이 가볍게 옮긴 말이 누군가에게 치명적인 결과를 낳았다는 가능성을 마주한다.,복수심 사이로 죄책감과 불안이 스며든다.,"대수는 수아의 죽음과 자신의 소문을 연결하지만, 우진이 설계한 최종 진실은 아직 모른다."
9eb2aa97-7269-51c8-ae18-6794090412ca,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,listener,미도는 대수가 찾은 과거를 들으며 그가 복수보다 이유를 알고 싶어 한다고 믿는다.,대수를 도망치게 하고 싶을 만큼 불길함을 느낀다.,미도는 수아와 우진의 과거를 일부 듣지만 자신과 대수의 혈연 관계는 모른다.
9eb2aa97-7269-51c8-ae18-6794090412ca,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,origin,우진에게 이 사건은 누나의 죽음과 자기 복수의 출발점이다.,오래 묻어둔 상실과 분노가 여전히 현재처럼 살아 있다.,"우진은 소문, 수아의 죽음, 자신이 붙잡았던 손을 놓은 기억까지 알고 있다."
53369f3f-0c38-5292-b0d1-315fec621caf,f36898cf-4392-558d-bad6-aa6e3dba9e34,revealed-target,대수는 자신의 선택이라고 믿은 만남과 사랑이 우진의 장치 속에서 시작되었다는 사실에 얼어붙는다.,분노보다 더 깊은 수치와 공포가 밀려온다.,"대수는 최면 조작을 알게 되지만, 사진 앨범의 최종 진실을 보기 전까지 미도의 정체는 모른다."
53369f3f-0c38-5292-b0d1-315fec621caf,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,unaware-subject,"미도는 이 폭로 현장에 없고, 자신이 조작의 대상이었다는 사실을 알지 못한다.",직접 겪지 않았기 때문에 이 사건의 감정적 의미를 알 수 없다.,미도는 끝까지 최면 조작의 전모와 자기 출생의 진실을 모른다.
53369f3f-0c38-5292-b0d1-315fec621caf,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,revealer,우진은 대수가 사랑이라고 믿은 감정의 출발점까지 흔들어 복수의 완성을 준비한다.,잔혹한 설명 속에서도 자기 고통을 증명하려는 집착이 드러난다.,우진은 대수와 미도 모두에게 걸린 암시와 그 이후 두 사람이 스스로 선택한 관계를 구분해 알고 있다.
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,f36898cf-4392-558d-bad6-aa6e3dba9e34,truth-bearer,대수는 복수의 대상이 자신에게 만든 가장 잔혹한 진실과 마주하고 미도를 지켜야 한다는 생각만 남는다.,"죄책감, 수치, 공포, 보호 본능이 한꺼번에 무너져 내린다.","대수는 미도가 자기 딸이라는 사실을 알며, 미도에게는 절대 알려져선 안 된다고 믿는다."
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,hidden-target,미도는 같은 종류의 상자 앞에 놓이지만 안의 내용을 모른 채 대수의 전화를 기다린다.,불길함과 두려움을 느끼지만 진실의 의미는 알지 못한다.,"미도는 상자 안에 무엇이 있는지 모르며, 대수가 왜 절대 열지 말라고 하는지도 모른다."
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,executioner,우진은 대수에게 자신이 당한 소문과 금기의 고통을 다른 방식으로 되돌려 주었다고 본다.,복수의 완성 앞에서 눈물과 공허함을 함께 느낀다.,"우진은 미도의 정체, 사진 앨범의 내용, 상자가 대수와 미도에게 각각 어떤 의미인지 모두 알고 있다."
34457670-12e4-5a08-977f-b273688259b7,f36898cf-4392-558d-bad6-aa6e3dba9e34,supplicant,대수는 복수심을 버리고 미도가 진실을 모르게 하는 것만을 목표로 삼는다.,자기혐오와 보호 본능이 극단적인 자기 처벌로 터진다.,"대수는 진실을 모두 알고 있으며, 미도는 아직 모르고 있다고 확인하려 한다."
34457670-12e4-5a08-977f-b273688259b7,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,protected-unaware,미도는 전화 너머의 대수를 믿고 상자를 열지 않는다.,공포와 혼란 속에서도 대수의 말을 따른다.,"미도는 보라색 상자와 사진 앨범의 의미, 대수가 무릎 꿇고 빈 이유를 모른다."
34457670-12e4-5a08-977f-b273688259b7,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,judge,우진은 대수의 붕괴를 지켜본 뒤 미도에게 진실을 알리지 않는 선택을 한다.,복수가 완성되자 살아갈 이유가 사라진 듯한 공허함을 느낀다.,우진은 대수가 진실을 알고 미도가 모른다는 상태를 의도적으로 남겨둔다.
0eb4a517-b445-5051-831a-1acf67f05bee,f36898cf-4392-558d-bad6-aa6e3dba9e34,survivor,"대수는 복수할 대상마저 사라진 뒤, 진실을 안 자신과 미도를 지켜야 하는 자신 사이에 남겨진다.",승리감은 없고 깊은 절망과 자기혐오만 남는다.,"대수는 우진의 조작과 미도의 정체를 알고 있으며, 이후 그 기억을 분리하려 한다."
0eb4a517-b445-5051-831a-1acf67f05bee,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,self-destroyed,우진은 복수의 끝에서 수아를 붙잡았던 손을 놓은 기억으로 돌아간다.,완성된 복수보다 누나에 대한 상실과 공허가 더 크게 남는다.,우진은 수아의 죽음에 자신도 결정적으로 얽혀 있음을 알고 죽음을 선택한다.
4cac3bb6-e2eb-5884-974d-99c34191c027,f36898cf-4392-558d-bad6-aa6e3dba9e34,divided,"대수는 미도와 살기 위해 진실을 품은 자신을 떼어내려 하지만, 그 결과가 온전히 성공했는지는 확신할 수 없다.",살고 싶다는 욕망과 기억을 지워야 한다는 절망이 동시에 남는다.,"대화 기준의 대수는 기억 분리 직전 또는 그 과정에 있는 사람으로, 진실을 알고 있지만 미도에게 숨기려 한다."
4cac3bb6-e2eb-5884-974d-99c34191c027,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,reunited-unaware,미도는 변해버린 대수를 걱정하며 다시 품는다.,불안하지만 대수를 사랑하고 보호하려는 마음이 앞선다.,"미도는 대수의 편지, 기억 분리의 이유, 자신과 대수의 혈연 관계를 모른다."
